streamerId,install_date,registration_date,gender,streamer_type,followers,coins_earned_all_time,avg_stream_duration,avg_watchers_per_stream,avg_earned_coins_per_stream
633a1e5494c9c82f2a4a5459,2022-10-02,2022-10-02,female,Individual,,0,5,59,0
633a119e08aa4f2581ad189d,2022-10-02,2022-10-02,male,Individual,,0,3,15,0
633829d194c9c82f2a49afc9,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,1,5.5,0
63384ffa08aa4f2581ac91a1,2022-10-01,2022-10-01,male,Individual,,0,1,5,0
6266a119d93c1a6c98c9c2d7,2022-04-25,2022-04-25,iPreferNotToSay,Individual,,0,3,12,0
6337addb08aa4f2581ac6d6b,2022-10-01,2022-10-02,male,Individual,,0,1.5,4,0
631a0f7376635e78e27e2905,2022-09-08,2022-09-14,female,Official,775,7710,39.78,279.39,442.53
63383ceb94c9c82f2a49b556,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,1,1,0
633963e708aa4f2581ace026,2022-10-02,2022-10-02,male,Individual,,0,2,12,0
633a104308aa4f2581ad17b4,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,1,1,0
63379dca08aa4f2581ac63b3,2022-10-01,2022-10-01,male,Individual,4,0,9.67,67.33,0
62f46e451e7906ed32060550,2022-08-11,2022-08-21,female,Individual,2481,19096,9.08,126.55,52.33
62a4c818ccee06010ee949b0,2022-06-11,2022-06-13,female,Official,5928,47568,1.24,3.58,6.61
6338b01a08aa4f2581acb18c,2022-10-01,2022-10-01,male,Individual,,0,3,17,0
6339815b94c9c82f2a4a1f07,2022-10-02,2022-10-02,female,Official,333,20450,29.87,77.63,200.49
6338e0f194c9c82f2a49e555,2022-10-02,2022-10-02,male,Individual,,0,2.5,12,0
633b37fd94c9c82f2a4a9845,2022-10-03,2022-10-03,male,Individual,,0,1,0,0
633abe9408aa4f2581ad469a,2022-10-03,2022-10-03,male,Individual,,0,2,3,0
6339239894c9c82f2a4a08b7,2022-10-02,2022-10-02,male,Individual,29,0,6.71,21.33,0
6338c55108aa4f2581acb7f3,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,3,16,0
63318566d177d12eb906083d,2022-09-26,2022-09-26,female,Individual,351,392,17.35,106,54.1
623e8c5166999d83382d4ccf,2022-03-26,2022-03-26,female,Official,70719,99440,25.72,222.94,200.68
6339032108aa4f2581acc90f,2022-10-02,2022-10-02,female,Individual,,0,3,49,0
6339ca6894c9c82f2a4a3210,2022-10-02,2022-10-02,female,Individual,,0,1.33,3,0
632cfb7cb3a13323b9e43583,2022-09-23,2022-09-23,female,Official,126,126,13,54.56,21.88
62d21733755b08839c093a59,2022-07-16,2022-07-16,iPreferNotToSay,Official,2716,39035,1.08,1.39,6.31
6315e4e5df4842fc5c68b610,2022-09-05,2022-09-05,iPreferNotToSay,Individual,10,101,3.16,5.66,2.79
63378a6e08aa4f2581ac5e49,2022-10-01,2022-10-01,female,Individual,,0,4,52,0
633a049d94c9c82f2a4a4b51,2022-10-02,2022-10-02,male,Individual,,0,1,6,0
6333460fd177d11ea0066f5a,2022-09-27,2022-09-27,female,Individual,24,0,8.67,87,0
633b19d308aa4f2581ad5bc0,2022-10-03,2022-10-03,male,Individual,,0,1,1,0
633965a808aa4f2581ace07a,2022-10-02,2022-10-02,iPreferNotToSay,Individual,1,0,2.5,5.25,0
633a2b2394c9c82f2a4a57df,2022-10-03,2022-10-03,male,Individual,,0,1,2.5,0
6339129608aa4f2581acccc5,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,2,2,0
6337bd9308aa4f2581ac7110,2022-10-01,2022-10-01,male,Individual,3,0,2,9,0
63377b1208aa4f2581ac589d,2022-09-30,2022-09-30,female,Individual,30,0,2.67,19.11,0
62ae54e3f4e0660f5c1f316e,2022-06-18,2022-06-18,male,Individual,,0,1.67,2.67,0
633b199808aa4f2581ad5bb6,2022-10-03,2022-10-03,female,Individual,11,0,4,39,0
63398e2094c9c82f2a4a22ab,2022-10-02,2022-10-02,female,Individual,2,0,1,5,0
63386b9808aa4f2581ac99e6,2022-10-01,2022-10-01,female,Individual,933,10028,5.22,41.7,31.73
633877c294c9c82f2a49c6b0,2022-10-01,2022-10-01,female,Individual,,0,2,11,0
6339a1f694c9c82f2a4a2682,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,2,3,0
633ae6d208aa4f2581ad50a9,2022-10-03,2022-10-03,iPreferNotToSay,Individual,,0,1,1,0
63387c3a94c9c82f2a49c80a,2022-10-01,2022-10-01,male,Individual,1,0,1,0,0
6337689708aa4f2581ac5265,2022-09-30,2022-09-30,female,Individual,,0,0.5,0.5,0
6325bec4fafcf1936b1ee5df,2022-09-17,2022-09-17,female,Official,565,5036,6.38,37.46,29.8
6259a2ab7c9a8cb26303f5f9,2022-04-15,2022-04-24,female,Official,11948,21933,1.65,7.37,6.01
630d0229b5f77284b66a48ca,2022-08-29,2022-08-31,female,Individual,84,214,3.04,14.04,10.17
633ad6ae94c9c82f2a4a7faf,2022-10-03,2022-10-03,female,Individual,1,0,1,0,0
6314f9d9f613be78a2b7316d,2022-09-04,2022-09-04,female,Individual,383,334,5.94,60.71,26.51
632892c7f4d17a4ed7317652,2022-09-19,2022-09-19,iPreferNotToSay,Official,622,2030,6.11,45.22,54.65
633969ea08aa4f2581ace0fd,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,1,2,0
633913a194c9c82f2a49f2dd,2022-10-02,2022-10-02,male,Individual,,0,1,2,0
6339211408aa4f2581acd175,2022-10-02,2022-10-02,male,Individual,,0,2,23,0
